target	tm_af_relaxed	tm_af_unrelaxed	tm_boltz	tm_amber_af	tm_amber_boltz	mp_af_relaxed	mp_af_unrelaxed	mp_boltz	mp_amber_af	mp_amber_boltz	clash_af_relaxed	clash_af_unrelaxed	clash_boltz	clash_amber_af	clash_amber_boltz	best_tm_source	best_tm_value	best_mp_source	best_mp_value	amber_af_tm_delta	amber_af_mp_delta	amber_boltz_tm_delta	amber_boltz_mp_delta
1WDW	0.9895	0.9898	0.9809	0.9895	0.9805	0.4340	1.3400	1.0680	0.4720	0.3800	1.5300	14.6680	10.7060	1.5300	1.1420	af_unrelaxed	0.9898	amber_boltz	0.3800	-0.0003	-0.8680	-0.0004	-0.6880
1WEJ	0.1659	0.1669	0.1668	0.1659	0.1659	0.7040	1.5840	1.1780	0.7040	0.4860	3.4820	28.1640	14.9800	3.4340	2.0920	af_unrelaxed	0.1669	amber_boltz	0.4860	-0.0010	-0.8800	-0.0008	-0.6920
1WQ1	0.9749	0.9751	0.9531	0.9749	0.9529	0.5300	1.3920	1.2540	0.5520	0.4300	1.9500	18.0980	18.0420	2.0000	1.7940	af_unrelaxed	0.9751	amber_boltz	0.4300	-0.0002	-0.8400	-0.0002	-0.8240
1XD3	0.9903	0.9904	0.9917	0.9903	0.9917	0.2060	1.2460	1.0120	0.1720	0.2260	0.7020	17.6220	9.8460	0.5380	0.7460	boltz	0.9917	amber_af	0.1720	-0.0002	-1.0740	-0.0001	-0.7860
1XQS	0.9903	0.9904	0.9862	0.9902	0.9862	0.3080	1.2580	1.0420	0.3180	0.3700	0.9720	15.4000	10.6480	1.0880	1.4160	af_unrelaxed	0.9904	af_relaxed	0.3080	-0.0002	-0.9400	-0.0000	-0.6720
1XU1	0.9800	0.9804	0.9824	0.9800	0.9823	0.5600	1.5300	1.2420	0.5520	0.2340	2.2200	24.4660	15.0680	2.2220	0.7180	boltz	0.9824	amber_boltz	0.2340	-0.0004	-0.9780	-0.0001	-1.0080
1Y64	0.9740	0.9750	0.9744	0.9740	0.9710	0.4320	1.3380	1.1760	0.4320	1.6360	1.0460	15.2560	15.5760	1.0940	10.7400	af_unrelaxed	0.9750	af_relaxed	0.4320	-0.0010	-0.9060	-0.0035	0.4600
1YVB	0.9907	0.9908	0.9911	0.9907	0.9910	0.4780	1.4040	1.1560	0.5060	0.4160	1.3120	18.0800	13.6660	1.5300	1.2000	boltz	0.9911	amber_boltz	0.4160	-0.0001	-0.8980	-0.0000	-0.7400
1Z0K	0.9894	0.9897	0.9479	0.9894	0.9472	0.4440	1.4560	1.2640	0.4600	0.5620	1.0420	15.3160	13.7780	1.0440	1.7580	af_unrelaxed	0.9897	af_relaxed	0.4440	-0.0003	-0.9960	-0.0007	-0.7020
1Z5Y	0.9907	0.9905	0.9685	0.9908	0.9682	0.6560	1.3780	1.0620	0.5680	0.4100	3.0880	18.6940	10.2680	1.7940	0.9000	amber_af	0.9908	amber_boltz	0.4100	0.0003	-0.8100	-0.0003	-0.6520
1ZHH	0.8243	0.8243	0.8168	0.8242	0.8167	0.6620	1.5780	1.1820	0.6620	0.4100	2.5900	23.6040	15.0400	2.4540	1.4660	af_relaxed	0.8243	amber_boltz	0.4100	-0.0000	-0.9160	-0.0000	-0.7720
1ZHI	0.9436	0.9438	0.9417	0.9436	0.9415	0.8280	1.6320	1.2080	0.7700	0.5060	3.0400	22.5020	15.6580	2.6980	1.7480	af_unrelaxed	0.9438	amber_boltz	0.5060	-0.0001	-0.8620	-0.0002	-0.7020
1ZLI	0.9958	0.9959	0.9953	0.9958	0.9953	0.4940	1.3440	1.1580	0.4780	0.4220	0.9580	13.1520	8.2180	0.9600	0.6820	af_unrelaxed	0.9959	amber_boltz	0.4220	-0.0001	-0.8660	-0.0000	-0.7360
1ZM4	0.6582	0.6583	0.6552	0.6582	0.6552	0.6240	1.5620	1.3100	0.5980	0.5120	2.0360	21.4420	20.5980	1.9120	2.1960	af_unrelaxed	0.6583	amber_boltz	0.5120	-0.0001	-0.9640	-0.0000	-0.7980
1e+96						0.3440	1.1300	1.2180	0.3320	0.4380	1.1640	12.7380	16.5320	1.0600	1.8460			amber_af	0.3320		-0.7980		-0.7800
2A1A	0.9689	0.9686	0.9710	0.9689	0.9710	0.3980	1.3580	1.1860	0.3900	0.5400	1.3540	15.8800	15.0820	1.3260	1.8320	boltz	0.9710	amber_af	0.3900	0.0003	-0.9680	0.0000	-0.6460
2A5T	0.9899	0.9900	0.9841	0.9899	0.9840	0.4240	1.3280	1.1040	0.4280	0.3720	0.9160	13.2780	10.3360	0.9860	0.8040	af_unrelaxed	0.9900	amber_boltz	0.3720	-0.0001	-0.9000	-0.0001	-0.7320
2A9K	0.9724	0.9731	0.9661	0.9724	0.9657	0.8900	1.4300	1.3760	0.8780	0.5720	4.5220	23.2620	24.3740	4.3880	2.7500	af_unrelaxed	0.9731	amber_boltz	0.5720	-0.0007	-0.5520	-0.0004	-0.8040
2ABZ	0.9957	0.9957	0.9953	0.9957	0.9953	0.6000	1.3460	1.5900	0.6420	1.1020	1.3300	14.9060	27.4020	1.5460	4.9520	af_relaxed	0.9957	af_relaxed	0.6000	0.0000	-0.7040	-0.0000	-0.4880
2AJF	0.9517	0.9520	0.9620	0.9516	0.9617	0.8960	1.7340	1.4380	0.8300	0.8420	3.9180	30.1140	27.0500	2.9220	4.3580	boltz	0.9620	amber_af	0.8300	-0.0003	-0.9040	-0.0004	-0.5960
2AYO	0.9471	0.9478	0.9387	0.9471	0.9384	0.5760	1.4920	1.1260	0.5480	0.3300	1.7640	20.0620	11.9120	1.6780	0.6920	af_unrelaxed	0.9478	amber_boltz	0.3300	-0.0007	-0.9440	-0.0003	-0.7960
2B42	0.9864	0.9865	0.9618	0.9864	0.9617	0.4320	1.3980	1.1200	0.4240	0.3100	0.8780	14.3860	12.0600	0.9260	1.0760	af_unrelaxed	0.9865	amber_boltz	0.3100	-0.0001	-0.9740	-0.0001	-0.8100
2B4J	0.9525	0.9534	0.9728	0.9525	0.9726	0.4240	1.4540	1.1100	0.4200	0.2380	1.4660	17.9260	11.1900	1.3960	0.4540	boltz	0.9728	amber_boltz	0.2380	-0.0009	-1.0340	-0.0002	-0.8720
2BTF	0.9765	0.9767	0.9728	0.9765	0.9727	0.3440	1.3380	1.0000	0.3520	0.2760	0.9360	14.0960	9.5320	1.0380	0.8360	af_unrelaxed	0.9767	amber_boltz	0.2760	-0.0002	-0.9860	-0.0002	-0.7240
2C0L	0.9842	0.9843	0.9784	0.9842	0.9786	0.3660	1.3340	0.9720	0.3340	0.2220	1.3400	16.0660	8.8860	1.2180	0.6860	af_unrelaxed	0.9843	amber_boltz	0.2220	-0.0001	-1.0000	0.0002	-0.7500
2CFH	0.9594	0.9597	0.9508	0.9594	0.9507	0.7840	1.7920	1.1320	0.7960	0.3260	2.1000	25.7340	13.4440	1.9780	1.2140	af_unrelaxed	0.9597	amber_boltz	0.3260	-0.0003	-0.9960	-0.0001	-0.8060
2DD8	0.6292	0.6297	0.5572	0.6293	0.5572	1.1600	1.7220	1.0100	1.2240	0.2940	4.8060	31.1500	9.7860	4.9340	0.8580	af_unrelaxed	0.6297	amber_boltz	0.2940	-0.0004	-0.4980	0.0000	-0.7160
2FD6	0.9544	0.9543	0.9694	0.9544	0.9690	1.0080	2.0400	1.4520	1.0580	0.8500	3.7460	37.7080	30.0440	3.6660	2.3420	boltz	0.9694	amber_boltz	0.8500	0.0000	-0.9820	-0.0004	-0.6020
2FJG	0.9469	0.9473	0.9122	0.9469	0.9118	0.9980	1.6960	1.0860	1.0200	0.4780	5.5460	29.5960	11.9540	5.5460	1.8400	af_unrelaxed	0.9473	amber_boltz	0.4780	-0.0005	-0.6760	-0.0004	-0.6080
2FJU	0.9815	0.9850	0.9697	0.9812	0.9687	1.3500	1.8220	1.3860	1.3560	0.8440	5.7440	36.9160	24.9800	6.0740	3.1660	af_unrelaxed	0.9850	amber_boltz	0.8440	-0.0038	-0.4660	-0.0010	-0.5420
2G77	0.9906	0.9906	0.9769	0.9906	0.9769	0.3540	1.3340	1.1860	0.3620	0.3180	1.3040	18.3180	15.3680	1.3540	1.1600	af_unrelaxed	0.9906	amber_boltz	0.3180	-0.0000	-0.9720	-0.0000	-0.8680
2GAF	0.9867	0.9876	0.9794	0.9867	0.9792	0.4360	1.5060	1.3900	0.4240	0.6680	1.4880	20.5000	18.1860	1.4020	1.8160	af_unrelaxed	0.9876	amber_af	0.4240	-0.0008	-1.0820	-0.0002	-0.7220
2GTP	0.9933	0.9947	0.9858	0.9932	0.9856	0.1360	0.9500	0.8960	0.1360	0.1560	0.3640	8.4500	7.1780	0.3640	0.4480	af_unrelaxed	0.9947	af_relaxed	0.1360	-0.0014	-0.8140	-0.0002	-0.7400
2H7V	0.9646	0.9652	0.9711	0.9646	0.9708	0.6880	1.7860	1.2020	0.7020	0.4680	2.5580	24.8460	15.9120	2.8640	2.0600	boltz	0.9711	amber_boltz	0.4680	-0.0005	-1.0840	-0.0003	-0.7340
2HLE	0.9553	0.9553	0.9307	0.9553	0.9305	0.6180	1.6200	1.3700	0.5940	0.5300	1.2540	23.0880	18.1020	1.1740	1.4100	af_unrelaxed	0.9553	amber_boltz	0.5300	-0.0001	-1.0260	-0.0002	-0.8400
2HQS	0.9863	0.9865	0.9860	0.9864	0.9858	0.2600	1.1520	1.0220	0.2380	0.2240	0.8960	14.0200	10.0560	0.7940	0.7180	af_unrelaxed	0.9865	amber_boltz	0.2240	-0.0001	-0.9140	-0.0002	-0.7980
2HRK	0.9913	0.9915	0.9901	0.9913	0.9898	0.4660	1.3580	1.0240	0.4720	0.3760	1.0760	19.0620	9.9100	1.1200	0.9420	af_unrelaxed	0.9915	amber_boltz	0.3760	-0.0002	-0.8860	-0.0003	-0.6480
2I25	0.9907	0.9905	0.9941	0.9907	0.9939	0.3600	1.2600	1.0900	0.3480	0.2880	1.7860	20.2160	12.1520	1.7320	1.0860	boltz	0.9941	amber_boltz	0.2880	0.0001	-0.9120	-0.0002	-0.8020
2I9B	0.9726	0.9729	0.9695	0.9726	0.9687	0.8280	1.8980	1.3320	0.8360	0.4940	2.4440	27.8200	21.3580	2.2360	1.7220	af_unrelaxed	0.9729	amber_boltz	0.4940	-0.0002	-1.0620	-0.0008	-0.8380
2IDO	0.9829	0.9831	0.9812	0.9829	0.9810	0.1880	0.7880	0.8740	0.1660	0.1460	0.5640	5.3340	7.0260	0.5140	0.4620	af_unrelaxed	0.9831	amber_boltz	0.1460	-0.0002	-0.6220	-0.0003	-0.7280
2J0T	0.9914	0.9915	0.9877	0.9914	0.9880	0.4220	1.4120	1.0560	0.4140	0.2420	1.2340	12.6780	11.0240	1.1420	0.6420	af_unrelaxed	0.9915	amber_boltz	0.2420	-0.0001	-0.9980	0.0003	-0.8140
2J7P	0.9667	0.9667	0.9400	0.9667	0.9399	0.7000	1.5420	1.2980	0.6680	0.4800	2.4880	25.3240	20.3200	2.3280	2.1200	af_unrelaxed	0.9667	amber_boltz	0.4800	-0.0000	-0.8740	-0.0001	-0.8180
2MTA	0.1816	0.1822	0.1833	0.1816	0.1827	0.5320	1.4840	1.1360	0.5360	0.2640	1.4280	18.2880	12.6900	1.4500	0.5720	boltz	0.1833	amber_boltz	0.2640	-0.0006	-0.9480	-0.0006	-0.8720
2NZ8	0.9889	0.9890	0.9887	0.9889	0.9887	0.3880	1.3220	1.0940	0.3840	0.4380	1.3340	18.1560	12.2420	1.3900	1.8240	af_unrelaxed	0.9890	amber_af	0.3840	-0.0001	-0.9380	-0.0001	-0.6560
2O3B	0.9911	0.9912	0.9907	0.9911	0.9904	0.4880	1.1740	1.0260	0.5200	0.3140	1.2860	11.1860	7.6760	1.4240	0.5540	af_unrelaxed	0.9912	amber_boltz	0.3140	-0.0002	-0.6540	-0.0003	-0.7120
2O8V	0.9544	0.9545	0.9341	0.9544	0.9339	0.4320	1.3380	1.2400	0.4660	0.4160	1.9800	18.6720	17.8120	2.0180	1.8280	af_unrelaxed	0.9545	amber_boltz	0.4160	-0.0001	-0.8720	-0.0003	-0.8240
2OOB	0.9162	0.9143	0.8956	0.9160	0.8965	0.2700	1.1820	0.7800	0.3060	0.0620	1.1700	16.2880	5.7480	1.3840	0.2120	af_relaxed	0.9162	amber_boltz	0.0620	0.0017	-0.8760	0.0009	-0.7180
2OOR	0.9963	0.9963	0.9672	0.9963	0.9673	0.4820	1.2420	1.0800	0.4740	0.3380	1.2520	11.5000	11.4400	1.2080	1.0900	af_relaxed	0.9963	amber_boltz	0.3380	0.0000	-0.7680	0.0001	-0.7420
2OT3	0.9826	0.9828	0.9754	0.9826	0.9752	0.4780	1.3600	1.1720	0.4760	0.4300	2.0400	17.3940	14.7100	2.0700	1.8000	af_unrelaxed	0.9828	amber_boltz	0.4300	-0.0002	-0.8840	-0.0002	-0.7420
2OUL	0.9900	0.9900	0.9916	0.9900	0.9915	0.5100	1.2340	0.9560	0.5300	0.2480	1.3500	13.1260	8.6980	1.3860	0.7120	boltz	0.9916	amber_boltz	0.2480	-0.0000	-0.7040	-0.0001	-0.7080
2OZA	0.9407	0.9416	0.8061	0.9408	0.8057	1.0240	2.0240	1.6860	1.0240	1.0580	3.7180	33.3780	35.6840	3.9760	5.1100	af_unrelaxed	0.9416	af_relaxed	1.0240	-0.0008	-1.0000	-0.0004	-0.6280
2PCC	0.9934	0.9934	0.9931	0.9934	0.9929	0.2840	1.2380	0.9140	0.3160	0.1980	0.4400	13.3280	7.6280	0.4420	0.6000	af_unrelaxed	0.9934	amber_boltz	0.1980	-0.0000	-0.9220	-0.0002	-0.7160
2SIC	0.9987	0.9987	0.9982	0.9987	0.9981	0.4580	1.3940	0.8980	0.4860	0.2100	0.6740	11.6100	5.9180	0.7840	0.1880	af_relaxed	0.9987	amber_boltz	0.2100	0.0000	-0.9080	-0.0000	-0.6880
2SNI	0.9982	0.9983	0.9977	0.9982	0.9976	0.3040	1.2900	0.6940	0.3060	0.1880	0.3260	10.0460	3.8780	0.3660	0.3260	af_unrelaxed	0.9983	amber_boltz	0.1880	-0.0001	-0.9840	-0.0001	-0.5060
2UUY	0.9968	0.9968	0.9970	0.9968	0.9970	0.3480	1.0120	0.7480	0.3580	0.1160	0.7500	10.2200	4.8100	0.8000	0.1000	boltz	0.9970	amber_boltz	0.1160	0.0000	-0.6540	-0.0001	-0.6320
2VDB	0.8692	0.8692	0.8388	0.8692	0.8388	0.3520	1.4000	1.0300	0.3240	0.2940	0.8680	17.7560	10.1980	0.8480	1.0280	af_unrelaxed	0.8692	amber_boltz	0.2940	-0.0000	-1.0760	0.0000	-0.7360
2VIS	0.9566	0.9568	0.9518	0.9567	0.9513	0.6940	1.5580	1.1640	0.6680	0.5220	2.3160	21.1720	13.8300	2.2400	1.5940	af_unrelaxed	0.9568	amber_boltz	0.5220	-0.0001	-0.8900	-0.0005	-0.6420
2VXT	0.8768	0.8773	0.9179	0.8768	0.9176	0.4500	1.2720	0.8760	0.4480	0.3480	1.2160	17.7120	6.8780	1.2180	0.7680	boltz	0.9179	amber_boltz	0.3480	-0.0005	-0.8240	-0.0003	-0.5280
2W9E	0.9610	0.9600	0.9618	0.9610	0.9610	0.6200	1.4320	1.1880	0.6480	0.4300	3.5800	27.7880	15.3320	3.6560	1.8260	boltz	0.9618	amber_boltz	0.4300	0.0010	-0.7840	-0.0008	-0.7580
2X9A	0.9773	0.9776	0.9762	0.9774	0.9751	0.2060	1.0440	0.8600	0.2280	0.2440	0.6260	10.6080	6.6900	0.7140	0.8040	af_unrelaxed	0.9776	af_relaxed	0.2060	-0.0003	-0.8160	-0.0011	-0.6160
2YVJ	0.9899	0.9900	0.9907	0.9899	0.9906	0.5020	1.2700	1.2480	0.5100	0.4760	0.8400	15.4180	14.8900	0.8400	1.3100	boltz	0.9907	amber_boltz	0.4760	-0.0001	-0.7600	-0.0001	-0.7720
2Z0E	0.9502	0.9503	0.9489	0.9502	0.9488	0.5760	1.4520	1.1840	0.5580	0.4800	1.4680	18.5320	15.2460	1.4700	1.4680	af_unrelaxed	0.9503	amber_boltz	0.4800	-0.0000	-0.8940	-0.0001	-0.7040
3A4S	0.9837	0.9839	0.9859	0.9837	0.9855	0.6200	2.0100	1.2200	0.6640	0.4160	1.0880	29.9320	14.8480	1.3760	1.3760	boltz	0.9859	amber_boltz	0.4160	-0.0002	-1.3460	-0.0004	-0.8040
3AAA	0.9710	0.9714	0.9738	0.9710	0.9735	0.2460	1.2180	1.0520	0.2380	0.2860	0.8000	15.7060	10.8740	0.7800	0.9600	boltz	0.9738	amber_af	0.2380	-0.0004	-0.9800	-0.0003	-0.7660
3AAD	0.5977	0.5979	0.4883	0.5977	0.4881	0.5280	1.5920	1.3600	0.5920	0.9300	1.4200	17.3580	24.5340	1.6280	5.2400	af_unrelaxed	0.5979	af_relaxed	0.5280	-0.0002	-1.0000	-0.0002	-0.4300
3BIW	0.9940	0.9943	0.9872	0.9940	0.9871	0.5540	1.6540	1.4060	0.5380	0.6340	0.6040	17.5360	18.0980	0.5500	1.5340	af_unrelaxed	0.9943	amber_af	0.5380	-0.0003	-1.1160	-0.0001	-0.7720
3BP8	0.9522	0.9526	0.9522	0.9522	0.9517	0.6600	1.6420	1.3000	0.6680	0.4200	1.7320	23.0280	17.4080	1.8280	1.2220	af_unrelaxed	0.9526	amber_boltz	0.4200	-0.0004	-0.9740	-0.0004	-0.8800
3BX7	0.9711	0.9708	0.9589	0.9710	0.9586	0.7140	1.6740	1.4240	0.7100	0.8740	3.3940	26.8580	24.1960	3.4380	4.1460	af_relaxed	0.9711	amber_af	0.7100	0.0003	-0.9640	-0.0003	-0.5500
3CPH	0.9134	0.9133	0.9079	0.9134	0.9074	0.9020	1.6560	1.3140	0.8820	0.4960	4.3660	30.7820	20.8680	4.4500	2.2460	af_relaxed	0.9134	amber_boltz	0.4960	0.0001	-0.7740	-0.0005	-0.8180
3D5S	0.9933	0.9933	0.9916	0.9933	0.9916	0.1580	1.0120	1.1060	0.1560	0.3600	0.4520	8.8600	12.5120	0.3820	1.3560	af_relaxed	0.9933	amber_af	0.1560	0.0000	-0.8560	-0.0000	-0.7460
3DAW	0.9836	0.9837	0.9791	0.9836	0.9791	0.3880	1.2240	1.0380	0.3520	0.2340	1.3120	14.1120	10.5280	1.1620	0.7640	af_unrelaxed	0.9837	amber_boltz	0.2340	-0.0001	-0.8720	-0.0000	-0.8040
3EO1	0.9733	0.9739	0.9728	0.9732	0.9722	1.3660	1.9440	1.1540	1.3560	0.3980	6.4860	36.2480	13.3620	6.3140	1.4680	af_unrelaxed	0.9739	amber_boltz	0.3980	-0.0006	-0.5880	-0.0005	-0.7560
3EOA	0.9558	0.9554	0.9265	0.9557	0.9261	0.8180	1.4980	1.1640	0.8180	0.4620	3.2840	23.4680	12.3960	3.6900	1.4720	af_relaxed	0.9558	amber_boltz	0.4620	0.0004	-0.6800	-0.0003	-0.7020
3F1P	0.9565	0.9568	0.9465	0.9564	0.9464	0.4940	1.6440	0.9640	0.4960	0.1920	1.5900	19.5440	8.7780	1.8100	0.4940	af_unrelaxed	0.9568	amber_boltz	0.1920	-0.0003	-1.1480	-0.0001	-0.7720
3FN1	0.9749	0.9747	0.9743	0.9749	0.9745	0.2220	1.0700	0.9480	0.1840	0.1780	0.6940	10.0120	8.2740	0.5460	0.5460	af_relaxed	0.9749	amber_boltz	0.1780	0.0003	-0.8860	0.0001	-0.7700
3G6D	0.8782	0.8780	0.8445	0.8782	0.8447	0.8580	1.8620	1.0360	0.8940	0.3280	4.4780	34.3160	10.5560	4.8280	1.0960	amber_af	0.8782	amber_boltz	0.3280	0.0003	-0.9680	0.0002	-0.7080
3H11	0.9571	0.9613	0.7295	0.9570	0.7290	1.0880	2.1460	1.6560	1.0820	0.8540	4.3500	46.0020	40.6880	4.5160	4.8240	af_unrelaxed	0.9613	amber_boltz	0.8540	-0.0043	-1.0640	-0.0005	-0.8020
3H2V	0.9376	0.9388	0.9564	0.9376	0.9559	1.2020	1.7700	1.2480	1.2120	0.4900	9.7520	36.8640	18.5640	9.6040	2.2640	boltz	0.9564	amber_boltz	0.4900	-0.0011	-0.5580	-0.0005	-0.7580
3HI6	0.9174	0.9178	0.8903	0.9174	0.8901	1.1400	1.7240	1.2800	1.1440	0.4940	5.6200	31.9860	16.6980	5.9460	1.6580	af_unrelaxed	0.9178	amber_boltz	0.4940	-0.0004	-0.5800	-0.0003	-0.7860
3HMX	0.9536	0.9538	0.9098	0.9537	0.9097	1.1780	2.1840	1.3620	1.2140	0.7080	4.1200	34.3100	21.2040	4.4240	2.2740	af_unrelaxed	0.9538	amber_boltz	0.7080	-0.0001	-0.9700	-0.0001	-0.6540
3K75	0.9805	0.9806	0.9807	0.9806	0.9804	0.3860	1.2480	1.0660	0.3720	0.2220	0.6940	10.3720	9.7400	0.6300	0.2240	boltz	0.9807	amber_boltz	0.2220	0.0000	-0.8760	-0.0004	-0.8440
3L5W	0.7022	0.7018	0.8108	0.7023	0.8108	1.0740	1.7880	1.0240	1.0340	0.2700	4.9340	32.6400	10.1440	4.0260	0.9560	boltz	0.8108	amber_boltz	0.2700	0.0006	-0.7540	-0.0000	-0.7540
3L89	0.9726	0.9730	0.9638	0.9726	0.9639	0.7400	1.5140	1.3140	0.7180	0.4540	3.2020	27.8540	21.0000	3.1440	1.7600	af_unrelaxed	0.9730	amber_boltz	0.4540	-0.0004	-0.7960	0.0001	-0.8600
3LVK	0.9975	0.9976	0.9924	0.9975	0.9923	0.2500	1.1780	1.1780	0.2960	0.3540	0.7380	12.5900	14.8700	0.8480	1.3120	af_unrelaxed	0.9976	af_relaxed	0.2500	-0.0001	-0.8820	-0.0001	-0.8240
3MJ9	0.9491	0.9497	0.9518	0.9485	0.9513	1.2480	1.8880	1.2160	1.2980	0.3780	4.7340	34.2920	16.5320	4.7760	1.4120	boltz	0.9518	amber_boltz	0.3780	-0.0012	-0.5900	-0.0005	-0.8380
3MXW	0.9859	0.9864	0.9845	0.9858	0.9840	0.5720	1.3720	1.1760	0.5500	0.4260	1.8300	19.4580	15.0960	1.7420	1.6300	af_unrelaxed	0.9864	amber_boltz	0.4260	-0.0006	-0.8220	-0.0006	-0.7500
3P57	0.9626	0.9622	0.9250	0.9625	0.9241	1.0640	1.9400	1.5080	1.0620	0.6980	3.9720	25.8080	23.7940	3.6000	2.4800	af_relaxed	0.9626	amber_boltz	0.6980	0.0003	-0.8780	-0.0010	-0.8100
3PC8	0.9817	0.9821	0.9815	0.9817	0.9806	0.4380	1.4560	1.0260	0.4640	0.2620	1.6100	24.8340	10.2800	1.7500	0.9100	af_unrelaxed	0.9821	amber_boltz	0.2620	-0.0004	-0.9920	-0.0009	-0.7640
3R9A	0.9963	0.9963	0.9862	0.9963	0.9862	0.4940	1.3940	1.0720	0.4760	0.3240	1.2320	14.6680	11.2860	1.0980	1.0040	af_unrelaxed	0.9963	amber_boltz	0.3240	-0.0000	-0.9180	0.0000	-0.7480
3RJQ	0.9316	0.9319	0.9620	0.9316	0.9619	1.5540	2.4900	1.6060	1.6160	0.9600	7.8300	55.6820	37.1220	8.6680	4.9720	boltz	0.9620	amber_boltz	0.9600	-0.0002	-0.8740	-0.0002	-0.6460
3RVW	0.9912	0.9917	0.9934	0.9912	0.9932	1.0500	1.7920	1.2280	1.1200	0.5940	4.2760	33.7240	16.3700	4.9760	2.1000	boltz	0.9934	amber_boltz	0.5940	-0.0005	-0.6720	-0.0002	-0.6340
3S9D	0.9241	0.9239	0.8985	0.9241	0.8985	0.8820	2.0100	1.2560	0.8560	0.4420	4.3340	35.4760	18.1920	4.4560	1.7660	af_relaxed	0.9241	amber_boltz	0.4420	0.0002	-1.1540	0.0000	-0.8140
3SE8	0.9924	0.9925	0.9885	0.9923	0.9883	0.5800	1.4360	1.1280	0.5680	0.3680	1.8240	19.5240	12.1140	1.7900	1.2540	af_unrelaxed	0.9925	amber_boltz	0.3680	-0.0001	-0.8680	-0.0001	-0.7600
3SGQ	0.9983	0.9985	0.9975	0.9983	0.9973	0.3720	1.1380	0.7640	0.4060	0.3580	0.3080	6.6120	3.6120	0.4300	0.3700	af_unrelaxed	0.9985	amber_boltz	0.3580	-0.0002	-0.7320	-0.0002	-0.4060
3SZK	0.9758	0.9770	0.9753	0.9757	0.9747	1.1880	1.7920	1.3020	1.0800	0.5640	5.0720	29.5180	19.6660	4.2420	2.0420	af_unrelaxed	0.9770	amber_boltz	0.5640	-0.0013	-0.7120	-0.0006	-0.7380
3U7Y	0.9853	0.9857	0.9839	0.9853	0.9836	0.3920	1.3080	1.0700	0.3740	0.2340	1.2380	16.7120	11.3660	1.1880	0.7280	af_unrelaxed	0.9857	amber_boltz	0.2340	-0.0004	-0.9340	-0.0003	-0.8360
3V6Z	0.9724	0.9736	0.9465	0.9724	0.9461	0.8560	1.9040	1.1920	0.9540	0.4760	4.2540	36.0180	15.5440	5.5060	1.9260	af_unrelaxed	0.9736	amber_boltz	0.4760	-0.0012	-0.9500	-0.0004	-0.7160
3VLB	0.9826	0.9826	0.9791	0.9826	0.9790	0.4600	1.3420	1.0920	0.5040	0.3460	1.0560	15.4980	10.5920	1.1660	0.5720	af_unrelaxed	0.9826	amber_boltz	0.3460	-0.0001	-0.8380	-0.0001	-0.7460
3WD5	0.9641	0.9643	0.9500	0.9640	0.9490	0.7540	1.5800	1.1060	0.7880	0.5260	2.8240	22.0440	12.2060	3.0100	1.4940	af_unrelaxed	0.9643	amber_boltz	0.5260	-0.0003	-0.7920	-0.0010	-0.5800
4CPA	0.9958	0.9959	0.9953	0.9958	0.9952	0.6480	1.4020	1.1740	0.6500	0.5840	1.5460	14.0280	6.7880	1.5460	0.7880	af_unrelaxed	0.9959	amber_boltz	0.5840	-0.0001	-0.7520	-0.0001	-0.5900
4DN4	0.9602	0.9602	0.9661	0.9602	0.9659	0.3400	1.2700	0.7300	0.3520	0.2000	1.1100	17.3260	4.6040	1.1340	0.6220	boltz	0.9661	amber_boltz	0.2000	0.0000	-0.9180	-0.0002	-0.5300
4DW2	0.9292	0.9295	0.9440	0.9294	0.9437	1.3160	1.7760	1.2040	1.2980	0.5680	6.2540	33.4040	14.7820	5.8100	1.5160	boltz	0.9440	amber_boltz	0.5680	-0.0001	-0.4780	-0.0004	-0.6360
4ETQ	0.9807	0.9810	0.9808	0.9807	0.9809	0.9000	1.6600	1.0780	0.9280	0.3160	4.3520	25.2040	11.7000	4.4720	0.9100	af_unrelaxed	0.9810	amber_boltz	0.3160	-0.0003	-0.7320	0.0001	-0.7620
4FP8	0.9920	0.9923	0.9820	0.9919	0.9818	1.0200	1.9000	1.2600	1.0020	0.5100	3.9540	30.8520	18.4520	4.0280	1.8860	af_unrelaxed	0.9923	amber_boltz	0.5100	-0.0004	-0.8980	-0.0002	-0.7500
4FQI	0.9766	0.9767	0.9601	0.9766	0.9600	0.7180	1.6020	1.3020	0.7280	0.5520	2.0880	19.8180	19.9640	2.0920	2.1900	af_unrelaxed	0.9767	amber_boltz	0.5520	-0.0001	-0.8740	-0.0001	-0.7500
4FZA	0.9745	0.9748	0.9717	0.9745	0.9714	0.3960	1.3080	1.1620	0.3840	0.4420	1.1520	14.1060	14.4880	1.1720	1.5580	af_unrelaxed	0.9748	amber_af	0.3840	-0.0003	-0.9240	-0.0003	-0.7200
4G6J	0.9778	0.9790	0.9814	0.9778	0.9803	1.1580	1.6940	1.0600	1.1100	0.3920	7.4620	24.9680	10.5820	7.1420	0.7280	boltz	0.9814	amber_boltz	0.3920	-0.0012	-0.5840	-0.0011	-0.6680
